query_id,query,department,solution,query_date,date_solved,employee_id
252,Do I have the option to structure my loan as partly fixed or partly floating,loans,"Yes, you can structure your Syndicate Ltd. Home Loan as Partly Fixed or Partly Floating as per your needs.",9/13/2018,6/7/2019,509
253,Can I give standing instructions to repay my Home Loan EMIs directly from my Syndicate Bank Savings Account,loans,"Yes, you can opt for Automated Repayment and your EMIs will be directly repaid from your Syndicate Bank Savings Account, thus saving you the trouble of procuring, signing and tracking post-dated cheques.",6/24/2019,8/17/2019,507
254,What is Pledge,loans,A right over the security is created in favour of Syndicate Bank. Hence shares cannot be transferred or sold by the customer or shareholder.,2/12/2019,10/31/2018,562
255,How will Syndicate decide my home loan eligibility,loans,"Syndicate assess the customer's repayment capacity based on income, age, qualifications, number of dependants, spouse's income, assets, liabilities, stability and continuity of occupation, and savings history.",9/8/2018,6/28/2019,590
256,What is pre-EMI interest,loans,"Pending final disbursement, you pay interest on the portion of the loan disbursed. This interest is called pre-EMI interest. Pre-EMI interest is payable every month from the date of each disbursement up to the date of commencement of EMI. *Conditions apply. All Home Loans from Syndicate Ltd. Credit at sole discretion of Syndicate Ltd.",10/13/2018,8/22/2019,545
257,Are my property documents safe with Syndicate Ltd.,loans,Syndicate offers in-house scrutiny of property documents for your complete peace of mind. So be assured that your property documents are in safe hands.,11/15/2018,4/13/2019,532
258,What Property can be considered as collateral for LAP,loans,You can provide your self-occupied Residential or Commercial property (Shops and Offices) as collateral.,7/1/2019,10/15/2018,577
259,Are there any additional charges for loan Pre-payment,loans,You may refer to the Fees & Charges option under the product Loan Against Property and Loan Against Rental Receivables. All terms and conditions are at the Sole discretion of Syndicate Bank Ltd. The bank reserves the right to change/ modify any of the above at any time.,6/20/2019,9/16/2018,598
260,What are the fees & charges applicable,loans,You may refer to the Fees & Charges option under the product Loan Against Property and Loan Against Rental Receivables.,4/28/2019,7/12/2019,571
261,Can I avail an Overdraft against my Property,loans,A Loan Against Property can be availed as a Term Loan with EMI repayments or as a Drop line Overdraft Facility.,10/25/2018,1/4/2019,519
262,What is the maximum tenure to repay the Loan Against Property,loans,A Loan Against Rent Receivables can be sanctioned for a minimum tenure of 12 months and a maximum tenure of 108 months. This however depends on the balance lease period and other parameters.,4/28/2019,2/27/2019,551
263,What is the maximum loan I can get against my Property,loans,You can get a Loan Against Property up to a maximum of 60%* of the market value of your property. * conditions apply,5/4/2019,8/28/2019,593
264,How do I apply for a Loan Against Property (LAP),loans,You can apply for a loan in the following ways: Fill in the online application form and our representative will get in touch with you Call one of our PhoneBanking numbers provided on the website Visit your nearest branch Our existing liability customers may also get in touch with their Relationship Managers/ Personal Bankers to know more and apply for LAP,1/4/2019,3/11/2019,520
265,How can I make a request to foreclose my Loan Against Property account,loans,Kindly submit a written request to your nearest Retail Loan Service Centre to close your account. Our customer service desk will provide you with the necessary assistance.,10/26/2018,1/20/2019,569
266,What is PDC,loans,PDC stands for Post dated cheques. PDCs are collected for repayment of EMIs.,8/25/2019,9/22/2018,500
267,What are the documents required to avail of the Loan Against Property,loans,For Salaried Individuals Proof of Residence - Any one of Ration Card / Telephone Bill / Electricity Bill / Voters Card. Proof of Identity - Any one of Voters Card / Drivers License / Employers Card. Latest Bank Statement / Passbook (where salary / income is credited for past 6 months). Latest 6 Months Salary Slip with all deductions and last 2 years Form 16. Copies of all Property Documents. For Self-Employed Individuals Certified Financial Statement for the last 2 years. Proof of Residence - Any one of Ration Card / Telephone Bill / Electricity Bill / Voters Card. Proof of Identity - Any one of Voters Card / Drivers License / Employers Card. Latest Bank Statement / Passbook (where salary / income is credited for past 6 months). Copies of all Property Documents. View more,4/21/2019,4/18/2019,509
268,How can I get my address changed in my loan account,loans,"In order to change your address in our records, you may visit the nearest Retail Loan Service Center and submit the following documents: Request form for Address Change. Self Attested copy of your revised address proof along with the original address proof for validation. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",9/5/2018,8/9/2019,534
269,What will be done with the post dated cheques if I request to change the mode of repayment/ account for my loan,loans,"Post Dated Cheques(PDCs)/Security Cheques submitted towards loan repayment that have not been encashed, will be defaced and retained by the Bank. In case, you wish to have your old Post Dated Cheques(PDCs)/ Security Cheques to be returned to you, kindly lodge a request at the Retail Loan Service Center or through PhoneBanking or write us an email at www.Syndicatebank.com/services within 45 days from the date of application of change in repayment instructions. In case, we do not hear from you within the stipulated period, the defaced cheques will be destroyed.",2/25/2019,5/27/2019,533
270,How can I change the mode of repayment/ account for my loan,loans,"In the event that you wish to change the mode of repayment/bank account for your loan repayment, you may visit the nearest Retail Loan Service Center and submit your request with the revised account mandate/instructions. You can opt to repay through alternate repayment instructions as follows: 1) Standing Instructions: We offer the Standing Instructions (SI) facility whereby we can directly debit your Syndicate Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Center : Request form for swap of repayment instructions. 3 Security cheques favoring Syndicate Bank Ltd Loan Account No. << >>, each undated and filled with a value equal to the sum of 3 EMIs. SI mandate duly filled and verified by Syndicate Bank. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. 2) Electronic Clearing Service (ECS): We offer the ECS facility whereby we can directly debit your non-Syndicate Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Center : Request form for swap of repayment instructions. Security cheques favoring Syndicate Bank Ltd Loan Account No. << >> *** ECS mandate duly filled and verified by your banker. ACH(Automated Clearing House) Mandate. Swap Charges of Rs.500/- favouring Syndicate Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents (self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. ***Security Cheques: You need to issue 1 security cheque for every 6 Equated Monthly Installments (EMI). The amount on each security undated cheque should be equal to the sum of 3 EMIs. For example, if your EMI amount is Rs. 1000 and you have paid 18 EMIs for a 36 month loan tenure, you need to submit 3 Security Cheques of Rs. 3000 each. 3) Post-dated Cheques (This mode is allowed only if the location is non ECS): Please submit the following documents at your nearest Retail Loan Service Center : Request form for swap of repayment instructions Revised post dated cheques in favour of Syndicate Bank Ltd Loan Account No. << >> for the balance EMIs. ACH(Automated Clearing House) Mandate Swap Charges of Rs.500/- favouring Syndicate Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",9/23/2018,7/28/2019,556
271,What are the charges I have to pay to change the mode of repayment/ account for my loan,loans,A service charge of Rs.500 is applicable for changes in loan repayment instructions issued from non-Syndicate Bank Account (ECS or PDC facility). A cheque/payorder/demand draft for Rs. 500 favouring Syndicate Bank Ltd Loan Account No. << >> will be required along with the revised set of repayment instructions.,6/3/2019,10/10/2018,500
272,What are the charges I need to pay to foreclose my Loan Against Property,loans,"In case you wish to foreclose your Loan Against Property, the foreclosure charges are applicable on the outstanding principal or Outstanding Limit as the case may be.(Pre-payment is allowed only after 6 months from the date of loan disbursement).",3/16/2019,5/5/2019,553
273,What are the charges I need to pay to foreclose my loan,loans,You may refer to the Fees & Charges option under the product Loan Against Property and Loan Against Rental Receivables.,9/25/2018,11/18/2018,569
274,How much time will it take to decision an application for Loan Against Property,loans,"Applications would be decisioned within 6 days* *Subject to customer submitting all the required financial and collateral documents to the bank at the time of application. Also subject to legal & technical clearance of the property, Applicable for cases upto 3 crores.",8/13/2019,1/10/2019,557
275,What is De-pledge,loans,Removal of a pledge from the security to regain the rights over the security is called de-pledge. *Conditions Apply,6/9/2019,1/18/2019,544
276,What is Guarantor,loans,A Guarantor is a person who guarantees to pay for someone else's debt if he or she should default on a loan obligation.,3/28/2019,10/22/2018,555
277,What is Amortization,loans,Amortization is paying off debts in regular instalments over a period of time.,6/13/2019,3/6/2019,596
278,What is Pledge,loans,A right over the security is created in favour of Syndicate Bank. Hence shares cannot be transferred or sold by the customer or shareholder.,3/31/2019,3/1/2019,511
279,What is RTGS,loans,"RTGS is the Real Time Gross Settlement which is used for the transfer of amounts of Rs. 1,00,000 or more from one bank account to another bank account (any bank located anywhere in India if attached with an Internet system) at very minimal charges. The amount is credited into the beneficiary's account in real time. For amounts less than Rs. 1,00,000 we use NEFT( National Electronic Fund Transfer).",9/7/2018,6/25/2019,523
280,What is NEFT,loans,The National Electronic Funds Transfer (NEFT) system is a nation-wide funds transfer system to facilitate transfer of funds from any bank branch to any other bank branch.,10/9/2018,1/10/2019,522
281,What is SI,loans,"SI stands for Standing Instructions. It is one of the modes you can use to repay a loan, wherein your Syndicate Bank account is directly debited for the EMI amounts, based on your specific instructions in the form of the Standing Instructions Mandate.",8/27/2019,10/30/2018,509
282,What is CIBIL,loans,"CIBIL stands for Credit Information Bureau India Limited. CIBIL's aim is to fulfil the need of credit granting institutions for comprehensive credit information by collecting, collating and disseminating credit information pertaining to both commercial and consumer borrowers, to a closed user group of members. Banks, Financial Institutions, Non-Banking Financial Companies, Housing Finance Companies and Credit Card Companies use CIBIL's services. Data sharing is based on the Principle of Reciprocity, which means that only Members who have submitted all their credit data may access Credit Information Reports from CIBIL. The establishment of CIBIL is an effort made by the Government of India and the Reserve Bank of India to improve the functionality and stability of the Indian financial system by containing NPAs while improving credit grantors' portfolio quality. CIBIL provides a vital service, which allows its Members to make informed, objective and faster credit decisions. View more",1/6/2019,7/23/2019,591
283,Which documents should I carry at the time of visiting Syndicate bank,loans,"You need to carry an Agreement Number, Self-attested Identification Proof containing your signature to avail of any information / deliverable along with a written request and produce the documents at the Customer Service Desk. If you want to change your address / contact details, you need to submit an address change request along with a Self-attested copy of your revised address proof. The Request form for Address Change is available on the Form Centre of Syndicate Bank website. View more",12/13/2018,4/13/2019,508
284,Who can resolve my queries,loans,"For your queries related to Loans (other than home loans), please visit the nearest Retail Asset Branch. You can also write to us at www.Syndicatebank.com/services with the following verification details or contact your nearest PhoneBanking officer: Loan account number Name of applicant / loan favouring Date of birth of the applicant (as provided in loan application form) Correspondence address Loan amount EMI amount Mode of repayment (standing instruction / ECS / post date cheques) Bank name and account number from which the EMIs are collected Query / Complain View more",12/4/2018,1/1/2019,512
285,How do I obtain a NOC from the bank if my Registration Certificate is mutilated and  I wish to apply for a duplicate Registration Certificate book for a vehicle under finance with Syndicate Bank,loans,"You may obtain the NOC for a duplicate Registration Certificate book for the said purpose by visiting any of our Retail Loan Service Center and submitting the following documents: Request form for applying for the required NOC. Self attested copy of the Registration Certificate book, duly self attested by you, along with the Original Registration Certificate book for validation. Applicable fee of Rs. 500//- vide a cheque/payorder/demand draft favouring Syndicate Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",8/20/2019,5/27/2019,573
286,How do I obtain a NOC from the bank if I have lost my Registration Certificate book for a vehicle under finance with Syndicate Bank,loans,"You may obtain the NOC for a duplicate Registration Certificate book for your vehicle loan, by visiting any of our Retail Loan Service Center and submitting the following documents: Request form for applying for the required NOC. Self attested copy of the Registration Certificate book, duly self attested by you for validation. Copy of FIR or certificate from police or Acknowledgement from Police on written complaint with General Diary No. Applicable fee of Rs. 500//- vide a cheque/payorder/demand draft favouring Syndicate Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",10/27/2018,10/25/2018,504
287,How do I obtain a NOC from the bank for settling a partial loss Insurance Claim for a vehicle under finance with Syndicate Bank,loans,"You may obtain the NOC to settle the partial insurance claim in your favour, provided there are no outstandings to your loan account, by visiting any of our Retail Loan Service Center and submitting the following documents: Request form for applying for the required NOC. Original Insurance Policy(will be returned back to you at the centre, post validation). Copy of the Insurance Policy, duly self attested by you. Claim Voucher provided by Insurance Company Applicable fee of Rs. 500/- vide a cheque/payorder/demand draft favouring “Syndicate Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. Note, for Total Loss, Claims will be settled in favour of the Bank to close the loan based on the Loan Pre-Termination Statement as on the date of request and in case of any excess claim received from the Insurance Company, a refund will be made favouring the customer. View more",6/26/2019,2/11/2019,524
288,How do I obtain a NOC from the bank for fitting an LPG/CNG kit on my vehicle under finance with Syndicate Bank,loans,"You may obtain the NOC for fitting an LPG/CNG kit on your registered vehicle under finance with us by visiting any of our the Retail Loan Service Center and submitting the following documents: Request form for LPG/CNG NOC. Self attested copy of the Registration Certificate book, duly self attested by you, along with the Original Registration Certificate book for validation. Applicable fee of Rs. 500/- vide a cheque/payorder/demand draft favouring Syndicate Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",9/21/2018,3/19/2019,584
289,How can I get my address changed in my loan account,loans,"In order to change your address in our records, we request you to visit the nearest Retail Loan Service Center and submit the following documents: Request form for Address Change. Self attested copy of your revised address proof along with the original address proof for validation. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",8/13/2019,3/11/2019,531
290,What are the different loan repayment modes,loans,The loan can be repaid through a Standing Instruction (to debit your Syndicate Bank Savings/Current Account for repayment of EMIs) or ECS (to debit your External Bank Account for repayment of EMIs) or by a complete set of Post Dated Cheques.,5/18/2019,9/16/2018,592
291,"If I have shares of one company only, can I get a limit against just one script",loans,"Yes, you can get limits by pledging any of the approved single scripts under our Single Scrip Scheme. (Do note that the drawing power on these single scripts will range from 25% to 50%)",4/27/2019,12/8/2018,514
292,How do I obtain a Duplicate Repayment Schedule for my loan account,loans,"You may obtain a Duplicate Repayment Schedule for your loan account, free of charge by registering for our NetBanking facility on www.Syndicatebank.com and download the repayment schedule for your linked loan account. Alternatively, you may visit the nearest Retail Loan Service Center and submit the following documents: Request form for Duplicate Repayment Schedule. Duplicate Repayment Schedule Charges of Rs.200/- favouring Syndicate Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided View more",5/5/2019,4/12/2019,519
293,What will be done with the post dated cheques if I request to change the mode of repayment/account for my loan,loans,"Post Dated Cheques(PDCs)/Security Cheques submitted towards loan repayment that have not been encashed, will be defaced and retained by the Bank. In case, you wish to have your old Post Dated Cheques(PDCs)/ Security Cheques to be returned to you, kindly lodge a request at the Retail Loan Service Center or through PhoneBanking or write us an email at www.Syndicatebank.com/services within 45 days from the date of application of change in repayment instructions. In case, we do not hear from you within the stipulated period, the defaced cheques will be destroyed.",12/7/2018,10/12/2018,572
294,How do I obtain a duplicate NOC/Form 35 for a vehicle loan that has been closed and fully repaid,loans,"You may obtain a duplicate NOC/Form 35 for your vehicle by visiting any of our the Retail Loan Service Center and submit the following documents: Request form for Duplicate NOC/Form 35. Self attested copy of the Registration Certificate book, duly self attested by you, along with the Original Registration Certificate book for validation. Applicable fee of Rs. 500/- vide a cheque/payorder/demand draft favouring “Syndicate Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. Please note that the Loan Closure NOC/Form 35 will not be issued if any of the following conditions apply: Copy of RC Book is not submitted The same vehicle is encumbered to the Bank for any other loan facility Any notice from a competent authority restraining the Bank from release of hypothecation If there are any existing over dues, direct or otherwise, in your name View more",2/7/2019,4/26/2019,516
295,How can I change the mode of repayment/ account for my loan,loans,"In the event that you wish to change the mode of repayment/bank account for your loan repayment, you may visit the nearest the Retail Loan Service Center and submit your request with the revised account mandate/instructions. You can opt to repay through alternate repayment instructions as follows: 1) Standing Instructions: We offer the Standing Instructions (SI) facility whereby we can directly debit your Syndicate Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Centre: Request form for swap of repayment instructions. 3 Security cheques favoring Syndicate Bank Ltd Loan Account No. << >>, each undated and filled with a value equal to the sum of 3 EMIs. SI mandate duly filled and verified by Syndicate Bank. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. 2) Electronic Clearing Service (ECS): We offer the ECS facility whereby we can directly debit your non-Syndicate Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Centre: Request form for swap of repayment instructions. Security cheques favoring Syndicate Bank Ltd Loan Account No. << >> *** ECS mandate duly filled and verified by your banker. ACH(Automated Clearing House) Mandate. Swap Charges of Rs.500/- favouring Syndicate Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. ***Security Cheques: You need to issue 1 security cheque for every 6 Equated Monthly Installments (EMI). The amount on each security undated cheque should be equal to the sum of 3 EMIs. For example, if your EMI amount is Rs. 1000 and you have paid 18 EMIs for a 36 month loan tenure, you need to submit 3 Security Cheques of Rs. 3000 each. 3) Post-dated Cheques (This mode is allowed only if the location is non ECS): Please submit the following documents at your nearest the Retail Loan Service Center : Request form for swap of repayment instructions Revised post dated cheques in favour of Syndicate Bank Ltd Loan Account No. << >> for the balance EMIs. ACH(Automated Clearing House) Mandate Swap Charges of Rs.500/- favouring Syndicate Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",11/28/2018,11/11/2018,502
296,Are there any additional charges for loan repayment,loans,The additional charges (if any) are applicable in case you default or in case of SWAP (i.e. change the repayment mode). The charges are updated and can be viewed in the Fees & Charges section in the Bank’s website of each loan product.,9/9/2018,8/30/2019,579
297,Can I repay my loan earlier than the due date,loans,"Yes you can repay your loan at any time during the loan tenure. However prepayment is not permitted within 6 months from loan disbursal date. For charge details, Click here",12/26/2018,12/22/2018,579
298,What are the other benefits that I can get from my Loan Against Securities Account,loans,"All the benefits that we offer on the Current Account are also applicable to the Overdraft account. This includes facilities like Phone Banking, NetBanking, BillPay and ATM. As a privileged Loan Against Securities customer, you will be entitled to our FREE International Debit Card.(only for the first holder)",7/19/2019,3/5/2019,564
299,Is my overdraft limit fixed,loans,"This will completely depend on the market rate of the securities that you have pledged. Of course, we will value your portfolio periodically to determine your overdraft limit. You can increase your overdraft limit by pledging more shares/securities , or decrease it by withdrawing them – that's completely up to you.",12/18/2018,6/2/2019,594
300,Is there any charge in the LAS Account if there are no limits,loans,"Yes, for accounts with no limits in a month a Zero Limit charge of Rs. 1000 plus taxes for that month is levied. For details of other charges levied in LAS accounts, Click here",9/3/2018,6/30/2019,553
301,How can I get my securities released,loans,"Please submit a security release request letter mentioning certificate numbers, the FAS account number (Agreement number), the Overdraft account number (signed by all the account holders) and the respective security holder. This letter needs to be submitted at any of our Loan Against Securities desks or to a branch that has a Loan against securities facility",12/29/2018,8/28/2019,505
302,What is the procedure to get the TRF booklet,loans,"We have revised the process for the issue of Transfer Request Forms to eligible Customers. These will no longer be available over-the-counter (as and when required) at our LAS Service Centres but will have to be indented from our Central Processing Unit. An application form is enclosed which will have to be used to place indents (maximum 10 nos. of TRF Forms per request). Application Forms are also available at our LAS Service Centres and on our website In this connection, kindly also note that: 1. The Transfer Request Forms will be serially numbered with your Client ID duly stamped thereon, 2. The serial numbers will be maintained in our systems and any request for pledge/withdrawal must only be submitted on a TRF issued to your account. No deviations can be allowed and you are requested to ensure that adequate number of forms are available to meet your normal requirements. Our Bank will not be responsible for any delay in transaction due to non-availability of TRF. 3. The book of Transfer Request Forms will be couriered directly to your mailing address on record within a maximum of 7 working days, once the application is received and found to be in order. We suggest that your mailing address be checked and updated (if required). Our Bank will not be responsible for any delays in delivery due to incorrect / incomplete address. 4. The book containing the Transfer Request Forms must be handled with care and kept secure at all times. Any loss, misplacement or damage must immediately be reported to the LAS Service Desk. 5. For now, applications for TRF can only be submitted through LAS Service Desks. However, the facility will soon be available through NetBanking. In case you are not registered for NetBanking, kindly visit our website (www.Syndicatebank.com) to register for the facility online. View more",3/15/2019,6/19/2019,533
303,How would I pay the interest debited to my Loan Against Securities account each month,loans,Simply service your interest payable at monthly intervals through credits in your overdraft account.(As per RBI Guidelines DBOD.NO.BP.BC.10/21.04.048/2004),12/24/2018,11/10/2018,585
304,Do I get statements for my account,loans,Monthly statements of accounts are sent to you. The facility of email statement of accounts is also available.,2/24/2019,9/1/2018,546
305,What is the minimum Loan value,loans,The minimum loan value is Rs. 2 Lakhs.,1/4/2019,7/10/2019,501
306,How frequently will my portfolio be re-valued,loans,"We generally do that on a weekly basis, unless there is a sudden fall in the market prices. In that case, we can conduct an Interim revaluation.",9/6/2018,11/10/2018,524
307,Would the shares be held in my name,loans,"The shares will remain in your name only. A loan against security lets you reap your regular benefits from shares such as rights, dividends and bonuses whilst you take a loan against them.",5/20/2019,12/17/2018,542
308,What are the documents required to avail of the Loans Against Rental Receivables,loans,Proof of Residence - Any one of Ration Card / Telephone Bill / Electricity Bill / Voters Card. Proof of Identity - Any one of Voters Card / Drivers License / Employers Card. Latest Bank Statement / Passbook (where rentals are credited for past 12 months). Copy of current Lease Agreement Copies of all Property Documents.,11/19/2018,2/26/2019,590
309,How much loan can be offered against my Property,loans,"A Loan Against Rent Receivables can be extended up to a maximum of 50%* of market value of your property. However this dependent on Net Rentals, balance tenure & other parameters.",6/13/2019,4/15/2019,503
310,How do I apply for a Loan Against Rent Receivables (LARR),loans,You can apply for a Loan Against Rent Receivables in the following ways: Fill and submit in the Online Application Form and our representative will get in touch with you. Call on one of our PhoneBanking numbers provided on the website Visit your nearest Syndicate Bank branch Our existing Liability customers may also get in touch with their Relationship Managers/ Personal Bankers to know more and apply for a LARR,9/7/2018,8/11/2019,501
311,What are the Fees and Charges applicable,loans,You may refer to the “Fees & Charges” option under the product “Loan against Rent Receivables”.,10/30/2018,12/17/2018,535
312,How much time will it take to decision an application for Loan Against Rental Receivables,loans,"Applications would be decisioned within 7 days, and in cases which involve customer availability for completing a field investigation or title search and valuation of a property, within 25 days.",8/21/2019,5/21/2019,598
313,What is EMI,loans,EMI stands for Equated Monthly Installments.,11/4/2018,4/1/2019,543
314,Are there any additional charges for loan Prepayment,loans,You may refer to the “Fees & Charges” option under the product “Loan against Property” and “Loan Against Rent Receivables”. ‘* All terms and conditions are at the Sole discretion of Syndicate Bank Ltd. The bank reserves the right to change/ modify any of the above at any time.,4/4/2019,3/27/2019,591
315,What are the charges I need to pay to foreclose my Loans Against Rental Receivable,loans,"In case you wish to foreclose your Loan Against Property, the foreclosure charges are applicable on the outstanding principal or Outstanding Limit as the case may be.(Pre-payment is allowed only after 6 months from the date of loan disbursement).",5/1/2019,9/8/2018,556
316,How can I make a request to foreclose my Loans Against Rental Receivables account,loans,Kindly submit a written request to your nearest Retail Loan Service Centre to close your account. Our customer service desk will provide you with the necessary assistance.,6/21/2019,10/15/2018,579
317,How should I apply for a duplicate NOC/ closure letter,loans,(Loans Against Rental Receivables)We request you to visit our nearest Retail Asset Branch along with a written request for a duplicate No Objection Certificate (NOC) and your photo identity proof.,1/14/2019,9/19/2018,553
318,What Property can be considered as collateral for LARR,loans,You can provide Commercial Property (Shops & Offices) leased to reputed lessees as collateral for a Loan Against Rent Receivables.,12/12/2018,1/15/2019,535
319,What is the maximum tenure to repay the Loans Against Rental Receivables,loans,A Loan Against Rent Receivables can be sanctioned for a minimum tenure of 12 months and a maximum tenure of 108 months. This however depends on the balance lease period and other parameters.,8/29/2019,11/26/2018,513
320,How long will it take for my Professional loan to be processed,loans,"Once you submit your application form and the required documents as per Bank''s criteria, you can expect our approval and disbursal within 7 working days, provided everything is in order. All loan approvals are at the sole discretion of the bank.",8/12/2019,8/16/2019,529
321,Can I repay the loan earlier for Professionals Loan,loans,"Yes, you can choose to repay your loan anytime after 06 months of taking the loan and after you have paid 06 EMIs along with applicable foreclosure charges. Please note Loan can be foreclosed by issuing a Demand draft / cheque at the branch; kindly note that cash beyond Rs. 49000/- will not be accepted for loan repayment against full closure/matured loan closure payment. Any payment above Rs. 49000/- should be made vide Account payee Cheque / Pay order /Demand draft.",1/28/2019,6/1/2019,596
322,How can I get my address changed in my loan account,loans,"In order to change your address in our records, you may visit the nearest Retail Loan Service Center and submit the following documents: Request form for Address Change. Self Attested copy of your revised address proof along with the original address proof for validation. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",5/21/2019,3/20/2019,510
323,What will be done with the post dated cheques if I request to change the mode of repayment/ account for my loan,loans,"Post Dated Cheques(PDCs)/Security Cheques submitted towards loan repayment that have not been encashed, will be defaced and retained by the Bank. In case, you wish to have your old Post Dated Cheques(PDCs)/ Security Cheques to be returned to you, kindly lodge a request at the Retail Loan Service Center or through PhoneBanking or write us an email at www.Syndicatebank.com/services within 45 days from the date of application of change in repayment instructions. In case, we do not hear from you within the stipulated period, the defaced cheques will be destroyed.",3/14/2019,10/29/2018,554
324,What are the charges I have to pay to change the mode of repayment/ account for my loan,loans,A service charge of Rs.500 is applicable for changes in loan repayment instructions issued from non-Syndicate Bank Account (ECS or PDC facility). A cheque/payorder/demand draft for Rs. 500 favouring “Syndicate Bank Ltd Loan Account No. << >>” will be required along with the revised set of repayment instructions.,8/10/2019,8/16/2019,508
